Autor;Titel;Nr;Passage;Aussage;Code des Typs;Annotator/in;Anmerkung;E1;Relation;E2;POST
Rieger, Dietmar;Französische Literatur. 18. Jahrhundert.;386-387;"Vielleicht hängt damit die Tatsache zusammen, daß die ""großen"" Aufklärer mit Ausnahme von <e1>Diderot</e1><rel>(Supplément au voyage de Bougainville) die </rel><e2>Utopie</e2> kaum gepflegt und sie allenfalls zuweilen in ihre Werke inkorporiert haben, wie Montesquieu die historische Gesellschaftstheorie der ""Histoire des Troglodytes"" in die Lettres persanes von 1721 (Briefe XI-XIV) oder Voltaire die im Kontext der Erzählung fragwürdige Utopie von Eldorado in seinem Candide von 1759 (Kap. XVII-XVIII) oder wie der Marquis de Sade in seinem Briefroman Aline et Valcour.";Denis Diderot topicInterest Utopie;topicInterest;SH;;Diderot;(Supplément au voyage de Bougainville) die ;Utopie;RSU
Rieger, Dietmar;Französische Literatur. 18. Jahrhundert.;386-387;"Vielleicht hängt damit die Tatsache zusammen, daß die ""großen"" Aufklärer mit Ausnahme von <e1>Diderot</e1><rel>(</rel><e2>Supplément au voyage de Bougainville</e2>) die Utopie kaum gepflegt und sie allenfalls zuweilen in ihre Werke inkorporiert haben, wie Montesquieu die historische Gesellschaftstheorie der ""Histoire des Troglodytes"" in die Lettres persanes von 1721 (Briefe XI-XIV) oder Voltaire die im Kontext der Erzählung fragwürdige Utopie von Eldorado in seinem Candide von 1759 (Kap. XVII-XVIII) oder wie der Marquis de Sade in seinem Briefroman Aline et Valcour.";Denis Diderot author Supplément au voyage de Bougainville;author;SH;;Diderot;(;Supplément au voyage de Bougainville;RTS
Rieger, Dietmar;Französische Literatur. 18. Jahrhundert.;386-387;"<e2>Vielleicht</e2><rel>hängt damit die Tatsache zusammen, daß die ""großen"" Aufklärer mit Ausnahme von Diderot (</rel><e1>Supplément au voyage de Bougainville</e1>) die Utopie kaum gepflegt und sie allenfalls zuweilen in ihre Werke inkorporiert haben, wie Montesquieu die historische Gesellschaftstheorie der ""Histoire des Troglodytes"" in die Lettres persanes von 1721 (Briefe XI-XIV) oder Voltaire die im Kontext der Erzählung fragwürdige Utopie von Eldorado in seinem Candide von 1759 (Kap. XVII-XVIII) oder wie der Marquis de Sade in seinem Briefroman Aline et Valcour.";Supplément au voyage de Bougainville hasAuthor;hasAuthor;SH;;Supplément au voyage de Bougainville;"hängt damit die Tatsache zusammen, daß die ""großen"" Aufklärer mit Ausnahme von Diderot (";Vielleicht;
Rieger, Dietmar;Französische Literatur. 18. Jahrhundert.;386-387;"Vielleicht hängt damit die Tatsache zusammen, daß die ""großen"" Aufklärer mit Ausnahme von Diderot (<e1>Supplément au voyage de Bougainville</e1><rel> die </rel><e2>Utopie</e2> kaum gepflegt und sie allenfalls zuweilen in ihre Werke inkorporiert haben, wie Montesquieu die historische Gesellschaftstheorie der ""Histoire des Troglodytes"" in die Lettres persanes von 1721 (Briefe XI-XIV) oder Voltaire die im Kontext der Erzählung fragwürdige Utopie von Eldorado in seinem Candide von 1759 (Kap. XVII-XVIII) oder wie der Marquis de Sade in seinem Briefroman Aline et Valcour.";Supplément au voyage de Bougainville about Utopie;about;SH;;Supplément au voyage de Bougainville; die ;Utopie;RSU
Rieger, Dietmar;Französische Literatur. 18. Jahrhundert.;386-387;"Vielleicht hängt damit die Tatsache zusammen, daß die ""großen"" Aufklärer mit Ausnahme von Diderot (Supplément au voyage de Bougainville) die Utopie kaum gepflegt und sie allenfalls zuweilen in ihre Werke inkorporiert haben, wie <e1>Montesquieu</e1><rel>die historische </rel><e2>Gesellschaftstheorie</e2> der ""Histoire des Troglodytes"" in die Lettres persanes von 1721 (Briefe XI-XIV) oder Voltaire die im Kontext der Erzählung fragwürdige Utopie von Eldorado in seinem Candide von 1759 (Kap. XVII-XVIII) oder wie der Marquis de Sade in seinem Briefroman Aline et Valcour.";Montesquieu topicInterest Gesellschaft;topicInterest;SH;;Montesquieu;die historische ;Gesellschaftstheorie;
Rieger, Dietmar;Französische Literatur. 18. Jahrhundert.;386-387;"Vielleicht hängt damit die Tatsache zusammen, daß die ""großen"" Aufklärer mit Ausnahme von Diderot (Supplément au voyage de Bougainville) die Utopie kaum gepflegt und sie allenfalls zuweilen in ihre Werke inkorporiert haben, wie <e1>Montesquieu</e1><rel>die historische Gesellschaftstheorie der ""Histoire des Troglodytes"" in die </rel><e2>Lettres persanes</e2> von 1721 (Briefe XI-XIV) oder Voltaire die im Kontext der Erzählung fragwürdige Utopie von Eldorado in seinem Candide von 1759 (Kap. XVII-XVIII) oder wie der Marquis de Sade in seinem Briefroman Aline et Valcour.";Montesquieu author Lettres persanes;author;SH;;Montesquieu;"die historische Gesellschaftstheorie der ""Histoire des Troglodytes"" in die ";Lettres persanes;
Rieger, Dietmar;Französische Literatur. 18. Jahrhundert.;386-387;"Vielleicht hängt damit die Tatsache zusammen, daß die ""großen"" Aufklärer mit Ausnahme von Diderot (Supplément au voyage de Bougainville) die Utopie kaum gepflegt und sie allenfalls zuweilen in ihre Werke inkorporiert haben, wie <e2>Montesquieu</e2><rel>die historische Gesellschaftstheorie der ""Histoire des Troglodytes"" in die </rel><e1>Lettres persanes</e1> von 1721 (Briefe XI-XIV) oder Voltaire die im Kontext der Erzählung fragwürdige Utopie von Eldorado in seinem Candide von 1759 (Kap. XVII-XVIII) oder wie der Marquis de Sade in seinem Briefroman Aline et Valcour.";Lettres persanes hasAuthor Montesquieu;hasAuthor;SH;;Lettres persanes;"die historische Gesellschaftstheorie der ""Histoire des Troglodytes"" in die ";Montesquieu;
Rieger, Dietmar;Französische Literatur. 18. Jahrhundert.;386-387;"Vielleicht hängt damit die Tatsache zusammen, daß die ""großen"" Aufklärer mit Ausnahme von Diderot (Supplément au voyage de Bougainville) die Utopie kaum gepflegt und sie allenfalls zuweilen in ihre Werke inkorporiert haben, wie Montesquieu die historische <e2>Gesellschaftstheorie</e2><rel>der ""Histoire des Troglodytes"" in die </rel><e1>Lettres persanes</e1> von 1721 (Briefe XI-XIV) oder Voltaire die im Kontext der Erzählung fragwürdige Utopie von Eldorado in seinem Candide von 1759 (Kap. XVII-XVIII) oder wie der Marquis de Sade in seinem Briefroman Aline et Valcour.";Lettres persanes about Gesellschaft;about;SH;;Lettres persanes;"der ""Histoire des Troglodytes"" in die ";Gesellschaftstheorie;
Rieger, Dietmar;Französische Literatur. 18. Jahrhundert.;386-387;"Vielleicht hängt damit die Tatsache zusammen, daß die ""großen"" Aufklärer mit Ausnahme von Diderot (Supplément au voyage de Bougainville) die Utopie kaum gepflegt und sie allenfalls zuweilen in ihre Werke inkorporiert haben, wie Montesquieu die historische Gesellschaftstheorie der ""Histoire des Troglodytes"" in die Lettres persanes von 1721 (Briefe XI-XIV) oder <e1>Voltaire</e1><rel>die im Kontext der Erzählung fragwürdige Utopie von Eldorado in seinem </rel><e2>Candide</e2> von 1759 (Kap. XVII-XVIII) oder wie der Marquis de Sade in seinem Briefroman Aline et Valcour.";Voltaire author Candide;author;SH;;Voltaire;die im Kontext der Erzählung fragwürdige Utopie von Eldorado in seinem ;Candide;
Rieger, Dietmar;Französische Literatur. 18. Jahrhundert.;386-387;"Vielleicht hängt damit die Tatsache zusammen, daß die ""großen"" Aufklärer mit Ausnahme von Diderot (Supplément au voyage de Bougainville) die Utopie kaum gepflegt und sie allenfalls zuweilen in ihre Werke inkorporiert haben, wie Montesquieu die historische Gesellschaftstheorie der ""Histoire des Troglodytes"" in die Lettres persanes von 1721 (Briefe XI-XIV) oder <e2>Voltaire</e2><rel>die im Kontext der Erzählung fragwürdige Utopie von Eldorado in seinem </rel><e1>Candide</e1> von 1759 (Kap. XVII-XVIII) oder wie der Marquis de Sade in seinem Briefroman Aline et Valcour.";Candide hasAuthor Voltaire;hasAuthor;SH;;Candide;die im Kontext der Erzählung fragwürdige Utopie von Eldorado in seinem ;Voltaire;
