Autor;Titel;OCR-Absatz;Passage;Aussage;Code des Typs;Annotator*in;Anmerkung;E1;Relation;E2;POST
Bauer-Funke, Cerstin;Die französische Literatur des 18. Jahrhunderts: Historische Entwicklung;5;Symptomatisch für den Umbruch der Ästhetik ist die 1687 entbrannte Querelle des anciens et des modernes, in der die Modernen - allen voran <e1>Perrault</e1><rel>und Fontenelle -der doctrine classique der anciens (Boileau, Racine) ein </rel><e2>fortschrittsorientiertes Geschichts- und Kunstverständnis</e2> entgegensetzen (z'Art. 111, 112, 114).;Charles Perrault topicInterest Fortschritt;topicInterest;SH;;Perrault;und Fontenelle -der doctrine classique der anciens (Boileau, Racine) ein ;fortschrittsorientiertes Geschichts- und Kunstverständnis;
Bauer-Funke, Cerstin;Die französische Literatur des 18. Jahrhunderts: Historische Entwicklung;5;Symptomatisch für den Umbruch der Ästhetik ist die 1687 entbrannte Querelle des anciens et des modernes, in der die Modernen - allen voran <e1>Perrault</e1> <rel>und Fontenelle -der doctrine classique der anciens (Boileau, Racine) ein fortschrittsorientiertes</rel> <e2>Geschichts- und Kunstverständnis</e2> entgegensetzen (z'Art. 111, 112, 114).;Charles Perrault topicInterest Geschichte;topicInterest;SH;;Perrault;und Fontenelle -der doctrine classique der anciens (Boileau, Racine) ein fortschrittsorientiertes;Geschichts- und Kunstverständnis;
Bauer-Funke, Cerstin;Die französische Literatur des 18. Jahrhunderts: Historische Entwicklung;5;Symptomatisch für den Umbruch der Ästhetik ist die 1687 entbrannte Querelle des anciens et des modernes, in der die Modernen - allen voran <e1>Perrault</e1><rel>und Fontenelle -der doctrine classique der anciens (Boileau, Racine) ein fortschrittsorientiertes Ge-schichts- und </rel><e2>Kunstverständnis</e2> entgegensetzen (z'Art. 111, 112, 114).;Charles Perrault topicInterest Kunst;topicInterest;SH;;Perrault;und Fontenelle -der doctrine classique der anciens (Boileau, Racine) ein fortschrittsorientiertes Ge-schichts- und ;Kunstverständnis;
Bauer-Funke, Cerstin;Die französische Literatur des 18. Jahrhunderts: Historische Entwicklung;5;Symptomatisch für den Umbruch der Ästhetik ist die 1687 entbrannte Querelle des anciens et des modernes, in der die Modernen - allen voran Perrault und <e1>Fontenelle</e1><rel>-der doctrine classique der anciens (Boileau, Racine) ein </rel><e2>fortschrittsorientiertes Geschichts- und Kunstverständnis</e2> entgegensetzen (z'Art. 111, 112, 114).;Bernard le Bovier de Fontenelle topicInterest Fortschritt;topicInterest;SH;;Fontenelle;-der doctrine classique der anciens (Boileau, Racine) ein ;fortschrittsorientiertes Geschichts- und Kunstverständnis;
Bauer-Funke, Cerstin;Die französische Literatur des 18. Jahrhunderts: Historische Entwicklung;5;Symptomatisch für den Umbruch der Ästhetik ist die 1687 entbrannte Querelle des anciens et des modernes, in der die Modernen - allen voran Perrault und <e1>Fontenelle</e1> <rel> -der doctrine classique der anciens (Boileau, Racine) ein fortschrittsorientiertes <e2>Geschichts- und Kunstverständnis</rel> </e2>entgegensetzen (z'Art. 111, 112, 114).;Bernard le Bovier de Fontenelle topicInterest Geschichte;topicInterest;SH;;Fontenelle; -der doctrine classique der anciens (Boileau, Racine) ein fortschrittsorientiertes <e2>Geschichts- und Kunstverständnis;Geschichts- und Kunstverständnis;
Bauer-Funke, Cerstin;Die französische Literatur des 18. Jahrhunderts: Historische Entwicklung;5;Symptomatisch für den Umbruch der Ästhetik ist die 1687 entbrannte Querelle des anciens et des modernes, in der die Modernen - allen voran Perrault und <e1>Fontenelle</e1><rel>-der doctrine classique der anciens (Boileau, Racine) ein fortschrittsorientiertes Ge-schichts- und </rel><e2>Kunstverständnis</e2> entgegensetzen (z'Art. 111, 112, 114).;Bernard le Bovier de Fontenelle topicInterest Kunst;topicInterest;SH;;Fontenelle;-der doctrine classique der anciens (Boileau, Racine) ein fortschrittsorientiertes Ge-schichts- und ;Kunstverständnis;
Bauer-Funke, Cerstin;Die französische Literatur des 18. Jahrhunderts: Historische Entwicklung;8;Von <e1>Voltaire</e1><rel>als „la canaille de la littérature“ diffamiert, wird dieser </rel><e2>Typus des Schriftstellers</e2> doch von Voltaire selbst („Le pauvre diable“, 1760) und von Diderot („Le neveu de Rameau“, um 1761/62 begonnen) zur literarischen Figur erhoben.;Voltaire topicInterest Schriftstellertum*;topicInterest;SH;*neues Thema;Voltaire;als „la canaille de la littérature“ diffamiert, wird dieser;Typus des Schriftstellers;
Bauer-Funke, Cerstin;Die französische Literatur des 18. Jahrhunderts: Historische Entwicklung;8;Von Voltaire als „la canaille de la littérature“ diffamiert, wird dieser<e2>Typus des Schriftstellers</e2><rel>doch von Voltaire selbst („</rel><e1>Le pauvre diable</e1>“, 1760) und von Diderot („Le neveu de Rameau“, um 1761/62 begonnen) zur literarischen Figur erhoben.;Le pauvre diable about Schriftstellertum;about;SH;;Le pauvre diable;doch von Voltaire selbst („;Typus des Schriftstellers;
Bauer-Funke, Cerstin;Die französische Literatur des 18. Jahrhunderts: Historische Entwicklung;8;Von Voltaire als „la canaille de la littérature“ diffamiert, wird dieser <e2>Typus des Schriftstellers</e2><rel>doch von Voltaire selbst („Le pauvre diable“, 1760) und von </rel><e1>Diderot</e1> („Le neveu de Rameau“, um 1761/62 begonnen) zur literarischen Figur erhoben.;Denis Diderot topicInterest Schriftstellertum;topicInterest;SH;;Diderot;doch von Voltaire selbst („Le pauvre diable“, 1760) und von ;Typus des Schriftstellers;
Bauer-Funke, Cerstin;Die französische Literatur des 18. Jahrhunderts: Historische Entwicklung;8;Von Voltaire als „la canaille de la littérature“ diffamiert, wird dieser <e2>Typus des Schriftstellers</e2><rel>doch von Voltaire selbst („Le pauvre diable“, 1760) und von Diderot („</rel><e1>Le neveu de Rameau</e1>“, um 1761/62 begonnen) zur literarischen Figur erhoben.;Le neveu de Rameau about Schriftstellertum;about;SH;;Le neveu de Rameau;doch von Voltaire selbst („Le pauvre diable“, 1760) und von Diderot („;Typus des Schriftstellers;
