Unnamed: 0;Autor;Titel;Seite;Passage;Aussage;Code des Typs;Annotator/in;E1;Relation;E2;Anmerkung
0;Rolf Geißler, Manfred Starke (Winfried Schröder);Der moralisierende Charakter des spätaufklärerischen Romans in seiner Bedeutung für die Vorbereitung der bürgerlichen Gesellschaft;567;"Einschneidende Veränderungen zeichnen sich auch in jenen Erzählungen und Romanen ab; die – von den im Schwange befindlichen Feenmärchen unbeeinflußt – auf phantastische Elemente verzichteten und in der Tradition von <e1>Marivaux</e1><rel>und Prévost an dem Anspruch festhielten, unter Verwendung </rel><e2>realistischer Details</e2>  wirkliches Geschehen zu gestalten.";Pierre de Marivaux describedAs realistisch;describedAs;SH;Marivaux;und Prévost an dem Anspruch festhielten, unter Verwendung ;realistischer Details;
1;Rolf Geißler, Manfred Starke (Winfried Schröder);Der moralisierende Charakter des spätaufklärerischen Romans in seiner Bedeutung für die Vorbereitung der bürgerlichen Gesellschaft;567;"Einschneidende Veränderungen zeichnen sich auch in jenen Erzählungen und Romanen ab; die – von den im Schwange befindlichen Feenmärchen unbeeinflußt – auf phantastische Elemente verzichteten und in der Tradition von Marivaux und <e1>Prévost</e1><rel>an dem Anspruch festhielten, unter Verwendung </rel><e2>realistischer</e2> Details wirkliches Geschehen zu gestalten.";Antoine François Prévost describedAs realistisch;describedAs;SH;Prévost;an dem Anspruch festhielten, unter Verwendung ;realistischer Details;
2;Rolf Geißler, Manfred Starke (Winfried Schröder);Der moralisierende Charakter des spätaufklärerischen Romans in seiner Bedeutung für die Vorbereitung der bürgerlichen Gesellschaft;567;"Einschneidende Veränderungen zeichnen sich auch in jenen Erzählungen und Romanen ab; die – von den im Schwange befindlichen <e2>Feenmärchen</e2><rel>unbeeinflußt – auf phantastische Elemente verzichteten und in der Tradition von </rel><e1>Marivaux</e1> und Prévost an dem Anspruch festhielten, unter Verwendung realistischer Details wirkliches Geschehen zu gestalten.";Pierre de Marivaux IsOpposedTo Feenmärchen;IsOpposedTo;SH;Marivaux;unbeeinflußt – auf phantastische Elemente verzichteten und in der Tradition von ;Feenmärchen;
3;Rolf Geißler, Manfred Starke (Winfried Schröder);Der moralisierende Charakter des spätaufklärerischen Romans in seiner Bedeutung für die Vorbereitung der bürgerlichen Gesellschaft;567;"Einschneidende Veränderungen zeichnen sich auch in jenen Erzählungen und Romanen ab; die – von den im Schwange befindlichen <e2>Feenmärchen</e2><rel>unbeeinflußt – auf phantastische Elemente verzichteten und in der Tradition von Marivaux und </rel><e1>Prévost</e1> an dem Anspruch festhielten, unter Verwendung realistischer Details wirkliches Geschehen zu gestalten.";Antoine François Prévost IsOpposedTo Feenmärchen;IsOpposedTo;SH;Prévost;unbeeinflußt – auf phantastische Elemente verzichteten und in der Tradition von Marivaux und ;Feenmärchen;
4;Rolf Geißler, Manfred Starke (Winfried Schröder);Der moralisierende Charakter des spätaufklärerischen Romans in seiner Bedeutung für die Vorbereitung der bürgerlichen Gesellschaft;567;[So erhalten die Romanfigurenjetzt in zunehmendem Maße ein eigenes moralisches Antlitz, werden sie als Schöpfer einer nicht mehr ständischen Form gesellschaftlichen Zusammenlebens dargestellt.] Bei dieser Neuorientierung können sich die französischen Erzähler auf die englischen <e2>Romanciers</e2> <rel>stützen, vor allem auf </rel><e1>Richardson</e1>, dessen Werke seit den vierziger Jahren in französischer Bearbeitung erschienen.;Samuel Richardson describedAs Romancier;describedAs;SH;Richardson;stützen, vor allem auf ;Romanciers;
5;Rolf Geißler, Manfred Starke (Winfried Schröder);Der moralisierende Charakter des spätaufklärerischen Romans in seiner Bedeutung für die Vorbereitung der bürgerlichen Gesellschaft;567;[So erhalten die Romanfiguren jetzt in zunehmendem Maße ein eigenes moralisches Antlitz, werden sie als Schöpfer einer nicht mehr ständischen Form gesellschaftlichen Zusammenlebens dargestellt.] Bei dieser Neuorientierung können sich die <e1>französischen Erzähler</e1><rel>auf die englischen Romanciers stützen, vor allem auf </rel><e2>Richardson</e2>, dessen Werke seit den vierziger Jahren in französischer Bearbeitung erschienen.;französische Erzähler InfluencedBy Samuel Richardson;InfluencedBy;SH;französischen Erzähler;auf die englischen Romanciers stützen, vor allem auf ;Richardson;
6;Rolf Geißler, Manfred Starke (Winfried Schröder);Der moralisierende Charakter des spätaufklärerischen Romans in seiner Bedeutung für die Vorbereitung der bürgerlichen Gesellschaft;567;[So erhalten die Romanfiguren jetzt in zunehmendem Maße ein eigenes moralisches Antlitz, werden sie als Schöpfer einer nicht mehr ständischen Form gesellschaftlichen Zusammenlebens dargestellt.] Bei dieser Neuorientierung können sich die <e1>französischen Erzähler</e1><rel>auf die englischen Romanciers stützen, vor allem auf </rel><e2>Richardson</e2>, dessen Werke seit den vierziger Jahren in französischer Bearbeitung erschienen.;französische Erzähler IsRelatedTo Samuel Richardson;IsRelatedTo;SH;französischen Erzähler;auf die englischen Romanciers stützen, vor allem auf ;Richardson;
7;Rolf Geißler, Manfred Starke (Winfried Schröder);Der moralisierende Charakter des spätaufklärerischen Romans in seiner Bedeutung für die Vorbereitung der bürgerlichen Gesellschaft;568;Zu den ersten Werken, die in Frankreich diese neue bewußtseinsbildende Funktion exemplarisch wahrzunehmen suchten, gehören <e1>Marmontel</e1><rel> </rel><e2>Contes moraux</e2> (1761: „Moralische Erzählungen“).;Jean-François Marmontel author Contes moraux;author;SH;Marmontel;relation out of scope;Contes moraux;
8;Rolf Geißler, Manfred Starke (Winfried Schröder);Der moralisierende Charakter des spätaufklärerischen Romans in seiner Bedeutung für die Vorbereitung der bürgerlichen Gesellschaft;568;Zu den ersten Werken, die in Frankreich diese neue bewußtseinsbildende Funktion exemplarisch wahrzunehmen suchten, gehören Marmontels <e1>Contes moraux</e1><rel>(</rel><e2>1761:</e2> „Moralische Erzählungen“).;Contes moraux date of publication 1761;date of publication;SH;Contes moraux;relation out of scope;1761;
9;Rolf Geißler, Manfred Starke (Winfried Schröder);Der moralisierende Charakter des spätaufklärerischen Romans in seiner Bedeutung für die Vorbereitung der bürgerlichen Gesellschaft;568;Zu den ersten Werken, die in Frankreich diese neue <e2>bewußtseinsbildende Funktion</e2><rel> exemplarisch wahrzunehmen suchten, gehören Marmontels </rel><e1>Contes moraux</e1> (1761: „Moralische Erzählungen“).;Contes moraux describedAs bewusstseinsbildend;describedAs;SH;Contes moraux; exemplarisch wahrzunehmen suchten, gehören Marmontels ;bewußtseinsbildende Funktion;
