Autor;Titel;Seite;Passage;Aussage;Code des Typs;Annotator/in;Anmerkung;E1;Relation;E2;POST
Peter Brockmeier;Die Kritik der Vorurteile in der französischen Literatur des 18. Jahrhunderts;321;"So finden wir in dem Sammelwerk <e2>Le Portefeuille d'un philosophe</e2><rel>, das 1770 unter dem Namen des <e1>Henri-Joseph Laurens</rel></e1> (1719-1793) veröffentlicht worden ist [1], an erster Stelle ein Gedicht über ""Das Vorurteil"" [2] und seinen verderblichen Einfluß: ...";Henri-Joseph Laurens author* Le Portefeuille d'un philosophe;author;SH;*Hsg;Henri-Joseph Laurens;, das 1770 unter dem Namen des <e1>Henri-Joseph Laurens;Le Portefeuille d'un philosophe;
Peter Brockmeier;Die Kritik der Vorurteile in der französischen Literatur des 18. Jahrhunderts;321;"So finden wir in dem Sammelwerk <e1>Le Portefeuille d'un philosophe</e1><rel> das 1770 unter dem Namen des </rel><e2>Henri-Joseph Laurens</e2> (1719-1793) veröffentlicht worden ist [1], an erster Stelle ein Gedicht über ""Das Vorurteil"" [2] und seinen verderblichen Einfluß: ...";Le Portefeuille d'un philosophe hasAuthor Henri-Joseph Laurens;hasAuthor;SH;;Le Portefeuille d'un philosophe; das 1770 unter dem Namen des ;Henri-Joseph Laurens;
Peter Brockmeier;Die Kritik der Vorurteile in der französischen Literatur des 18. Jahrhunderts;321;"So finden wir in dem Sammelwerk Le Portefeuille d'un philosophe, das 1770 unter dem Namen des <e1>Henri-Joseph Laurens</e1><rel>(1719-1793) veröffentlicht worden ist [1], an erster Stelle ein Gedicht über ""Das </rel><e2>Vorurteil</e2>"" [2] und seinen verderblichen Einfluß: ...";Henri-Joseph Laurens topicInterest Vorurteile;topicInterest;SH;;Henri-Joseph Laurens;"(1719-1793) veröffentlicht worden ist [1], an erster Stelle ein Gedicht über ""Das ";Vorurteil;
Peter Brockmeier;Die Kritik der Vorurteile in der französischen Literatur des 18. Jahrhunderts;321;"So finden wir in dem Sammelwerk <e1>Le Portefeuille d'un philosophe</e1><rel> das 1770 unter dem Namen des Henri-Joseph Laurens (1719-1793) veröffentlicht worden ist [1], an erster Stelle ein Gedicht über ""Das </rel><e2>Vorurteil</e2>"" [2] und seinen verderblichen Einfluß: ...";Le Portefeuille d'un philosophe about Vorurteile;about;SH;;Le Portefeuille d'un philosophe;" das 1770 unter dem Namen des Henri-Joseph Laurens (1719-1793) veröffentlicht worden ist [1], an erster Stelle ein Gedicht über ""Das ";Vorurteil;
Peter Brockmeier;Die Kritik der Vorurteile in der französischen Literatur des 18. Jahrhunderts;321;Wohlgemut und zuversichtlich eingestimmt, blättern wir weiter im Portefeuille eines Philosophen und stoßen auf Betrachtungen über die Prozesse wegen ehelicher Impotenz, wie sie noch im 17. Jh. von Ehefrauen angestrengt werden konnten, stimmen dem Verfasser sicher zu, wenn er die öffentliche Untersuchung oder den probeweisen Nachweis der Potenz als ein unwürdiges Verfahren bezeichnet.|3] Bei dieser Bewertung bleibt er allerdings nicht stehen. Er wettert im folgenden nicht gegen den lächerlichen Brauch, weil dieser etwa den Bereich der individuellen Freiheit unzumutbar verletzt, sondern gegen das schwache Geschlecht, das diese Möglichkeit, eine nicht immer freiwillige Eheschließung zu annullieren, auszunutzen wagte: Der Brauch sei verdammenswert, weil die sexuelle Gier der Frau in anstößiger Weise zutage getreten und das Schamgefühl verletzt worden sei.;Henri-Joseph Laurens topicInterest Gesellschaftskritik*;topicInterest;SH;*anderes Thema treffender? Kritik an Frauen?;Not Found;;Not Found;ND
Peter Brockmeier;Die Kritik der Vorurteile in der französischen Literatur des 18. Jahrhunderts;321;Wohlgemut und zuversichtlich eingestimmt, blättern wir weiter im Portefeuille eines <e1>Philosophe</e1>n und stoßen auf Betrachtungen über die Prozesse wegen ehelicher Impotenz, wie sie noch im 17. Jh. von Ehefrauen angestrengt werden konnten, stimmen dem Verfasser sicher zu, wenn er die öffentliche Untersuchung oder den probeweisen Nachweis der Potenz als ein unwürdiges Verfahren bezeichnet.|3] Bei dieser Bewertung bleibt er allerdings nicht stehen. Er wettert im folgenden nicht gegen den lächerlichen Brauch, weil dieser etwa den Bereich der individuellen Freiheit unzumutbar verletzt, sondern gegen das schwache Geschlecht, das diese Möglichkeit, eine nicht immer freiwillige Eheschließung zu annullieren, auszunutzen wagte: Der Brauch sei verdammenswert, weil die sexuelle Gier der Frau in anstößiger Weise zutage getreten und das Schamgefühl verletzt worden sei.;Le Portefeuille d'un philosophe about Gesellschaftskritik;about;SH;;Philosophe;;Not Found;ND
Peter Brockmeier;Die Kritik der Vorurteile in der französischen Literatur des 18. Jahrhunderts;322;In der ersten Ausgabe seines <e2>Dictionnaire philosophique portatif</e2><rel>(1764) hat </rel><e1>Voltaire</e1> den »Vorurteilen« einen Artikel gewidmet, in dem er die schlechten- also durch vernünftige Erkenntnisse zu ersetzenden - von den allgemein akzeptierten, de« »notwendigen« Vorurteilen unterscheidet.;Voltaire author Dictionnaire philosophique portatif;author;SH;;Voltaire;(1764) hat ;Dictionnaire philosophique portatif;RSU
Peter Brockmeier;Die Kritik der Vorurteile in der französischen Literatur des 18. Jahrhunderts;322;In der ersten Ausgabe seines <e1>Dictionnaire philosophique portatif</e1><rel>(1764) hat </rel><e2>Voltaire</e2> den »Vorurteilen« einen Artikel gewidmet, in dem er die schlechten- also durch vernünftige Erkenntnisse zu ersetzenden - von den allgemein akzeptierten, de« »notwendigen« Vorurteilen unterscheidet.;Dictionnaire philosophique portatif hasAuthor Voltaire;hasAuthor;SH;;Dictionnaire philosophique portatif;(1764) hat ;Voltaire;RSU
Peter Brockmeier;Die Kritik der Vorurteile in der französischen Literatur des 18. Jahrhunderts;322;In der ersten Ausgabe seines Dictionnaire philosophique portatif (1764) hat <e1>Voltaire</e1><rel>den »</rel><e2>Vorurteilen</e2>« einen Artikel gewidmet, in dem er die schlechten- also durch vernünftige Erkenntnisse zu ersetzenden - von den allgemein akzeptierten, de« »notwendigen« Vorurteilen unterscheidet.;Voltaire topicInterest Vorurteile;topicInterest;SH;;Voltaire;den »;Vorurteilen;RSU
Peter Brockmeier;Die Kritik der Vorurteile in der französischen Literatur des 18. Jahrhunderts;322;In der ersten Ausgabe seines <e1>Dictionnaire philosophique portatif</e1><rel>(1764) hat Voltaire den »</rel><e2>Vorurteilen</e2>« einen Artikel gewidmet, in dem er die schlechten- also durch vernünftige Erkenntnisse zu ersetzenden - von den allgemein akzeptierten, de« »notwendigen« Vorurteilen unterscheidet.;Dictionnaire philosophique portatif about Vorurteile;about;SH;;Dictionnaire philosophique portatif;(1764) hat Voltaire den »;Vorurteilen;
