Autor;Titel;Seite;Passage;Aussage;Code des Typs;Annotator/in;Anmerkung;E1;Relation;E2;POST
"Grimm, Jürgen; Hartwig, Susanne";Französische Literaturgeschichte. Von der Aufklärung bis zur Französischen Revolution.;212;In <e1>Lettres persanes</e1><rel>finden sich, in die Briefe eingebettet, Dialoge und Monologe, in denen über </rel><e2>Philosophie</e2>, Religion, Ethik und Politik räsoniert wird, zudem kurze Essays, Parabeln und Märchen, ganz abgesehen von satirischen Glanzstücken.;Lettres persanes about Philosophie;about;SH;;Lettres persanes;finden sich, in die Briefe eingebettet, Dialoge und Monologe, in denen über ;Philosophie;
"Grimm, Jürgen; Hartwig, Susanne";Französische Literaturgeschichte. Von der Aufklärung bis zur Französischen Revolution.;212;In <e1>Lettres persanes</e1><rel>finden sich, in die Briefe eingebettet, Dialoge und Monologe, in denen über Philosophie, </rel><e2>Religion</e2>, Ethik und Politik räsoniert wird, zudem kurze Essays, Parabeln und Märchen, ganz abgesehen von satirischen Glanzstücken.;Lettres persanes about Religion;about;SH;;Lettres persanes;finden sich, in die Briefe eingebettet, Dialoge und Monologe, in denen über Philosophie, ;Religion;
"Grimm, Jürgen; Hartwig, Susanne";Französische Literaturgeschichte. Von der Aufklärung bis zur Französischen Revolution.;212;In <e1>Lettres persanes</e1> <rel>finden sich, in die Briefe eingebettet, Dialoge und Monologe, in denen über Philosophie, Religion,</rel> <e2>Ethik</e2> und Politik räsoniert wird, zudem kurze Essays, Parabeln und Märchen, ganz abgesehen von satirischen Glanzstücken.;Lettres persanes about Moral*;about;SH;*Ethik=Wiss. d. Moral;Lettres persanes;finden sich, in die Briefe eingebettet, Dialoge und Monologe, in denen über Philosophie, Religion,;Ethik;
"Grimm, Jürgen; Hartwig, Susanne";Französische Literaturgeschichte. Von der Aufklärung bis zur Französischen Revolution.;212;In <e1>Lettres persanes</e1><rel>finden sich, in die Briefe eingebettet, Dialoge und Monologe, in denen über Philosophie, Religion, Ethik und </rel><e2>Politik</e2> räsoniert wird, zudem kurze Essays, Parabeln und Märchen, ganz abgesehen von satirischen Glanzstücken.;Lettres persanes about Politik;about;SH;;Lettres persanes;finden sich, in die Briefe eingebettet, Dialoge und Monologe, in denen über Philosophie, Religion, Ethik und ;Politik;
"Grimm, Jürgen; Hartwig, Susanne";Französische Literaturgeschichte. Von der Aufklärung bis zur Französischen Revolution.;212;Das Thema <e2>Selbstmord</e2> <rel>(1734 prägt der Abbe</rel> <e1>Prevost</e1> den Begriff >suicide<) zählt zu den Kernthemen der Aufklärungsphilosophie und der Literatur der Epoche (Goethe, Die Leiden des jungen Werthers, 1774).;Antoine-François Prévost topicInterest Selbstmord;topicInterest;SH;;Prevost;(1734 prägt der Abbe;Selbstmord;
"Grimm, Jürgen; Hartwig, Susanne";Französische Literaturgeschichte. Von der Aufklärung bis zur Französischen Revolution.;212;Ein weiteres epochenspezifisches Thema, <e2>Toleranz</e2><rel>und religiöser Pluralismus, wird ebenfalls in den </rel><e1>Lettres persanes</e1> unter verschiedenen Gesichtspunkten verhandelt.;Lettres persanes about Toleranz;about;SH;;Lettres persanes;und religiöser Pluralismus, wird ebenfalls in den ;Toleranz;
"Grimm, Jürgen; Hartwig, Susanne";Französische Literaturgeschichte. Von der Aufklärung bis zur Französischen Revolution.;212;Ein weiteres epochenspezifisches Thema, Toleranz und <e2>religiöser Pluralismus</e2><rel> wird ebenfalls in den </rel><e1>Lettres persanes</e1> unter verschiedenen Gesichtspunkten verhandelt.;Lettres persanes about Religion;about;SH;;Lettres persanes; wird ebenfalls in den ;religiöser Pluralismus;
"Grimm, Jürgen; Hartwig, Susanne";Französische Literaturgeschichte. Von der Aufklärung bis zur Französischen Revolution.;212;Die Aufklärung kultiviert an den <e1>Lettres persanes</e1><rel>ihre Neigung zum </rel><e2>Exotismus</e2> und Orientalismus und ihre Lust am Satirischen und findet Gefallen an der Gattung Briefroman.;Lettres persanes about Exotik;about;SH;;Lettres persanes;ihre Neigung zum ;Exotismus;
"Grimm, Jürgen; Hartwig, Susanne";Französische Literaturgeschichte. Von der Aufklärung bis zur Französischen Revolution.;212;Die Aufklärung kultiviert an den <e1>Lettres persanes</e1><rel>ihre Neigung zum Exotismus und </rel><e2>Orientalismus</e2> und ihre Lust am Satirischen und findet Gefallen an der Gattung Briefroman.;Lettres persanes about Orient;about;SH;;Lettres persanes;ihre Neigung zum Exotismus und ;Orientalismus;
"Grimm, Jürgen; Hartwig, Susanne";Französische Literaturgeschichte. Von der Aufklärung bis zur Französischen Revolution.;212;Prägend sind <e1>Montesquieu</e1><rel> in der Schwebe gehaltene </rel><e2>Kritik</e2> an der zeitgenössischen Gesellschaft, seine wie mit leichter Hand notierten Antworten auf die Fragen nach dem rechten Zusammenleben der Religionen und Konfessionen, nach der geeignetsten Staats- und Regierungsform und der persönlichen Freiheit.;Montesquieu topicInterest Kritik;topicInterest;SH;;Montesquieu; in der Schwebe gehaltene ;Kritik;
